Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
100 block Roosevelt Av,,,1,2,,,,3
100 block Rosemont Dr,,,1,,,,,1
100 block Ross Park Dr,,,,1,,,,1
100 block Ross Pk,,,1,1,,,,2
100 block Rugby Rd,,,1,2,,,,3
100 block Russell Pl,,,,1,,,,1
100 block S Beech St,1,,,,,,,1
100 block S Carbon St,,,2,,,1,,3
100 block S Clinton St,,,,1,,,,1
100 block S Collingwood Av,1,,2,,,,1,4
100 block S Crouse Av,,,,1,,,,1
100 block S Edwards Av,,,1,1,,,,2
100 block S Lowell Av,,,,2,,1,,3
100 block S Midler Av,,,,1,,,,1
100 block S Warren St,,,2,1,,,,3
100 block Sabine St,,,,,,1,2,3
100 block Schiller Av,,,,1,,,,1
100 block Schiller Park Dr,,,,1,,,,1
100 block Schneider St,,,3,2,,,,5
100 block Schoeneck Av,,,,1,,,,1
100 block Schuler St,1,,1,,,,,2
100 block Searlwyn Av,,,,,,,1,1
100 block Second North St,,,1,2,,,,3
100 block Sedgewick Dr,,,,2,,,,2
100 block Sedgewick Rd,,,,1,,,,1
100 block Sedgwick Dr,,,,2,,,,2
100 block Sedgwick Rd,,,,,,,1,1
100 block Seeley Av,,,,1,,,,1
100 block Seeley Rd,,,,1,,,,1
100 block Seneca Dr,,,1,,,,,1
100 block Seventh North St,1,,,,,,,1
100 block Seventh North St St,,,1,,,,,1
100 block Seward St,,,,2,,,,2
100 block Seymour St,,,,2,,,,2
100 block Shirley Rd,,,,2,,,,2
100 block Shonnard St,,,1,,,,,1
100 block Shop City Plz,,,,1,,,,1
100 block Shotwell Pk,,,1,1,,,,2
100 block Sidman Av,,,,1,,,,1
100 block Simon Dr,,,,6,,,,6
100 block Slayton Av,,,,1,,,,1
100 block Smith Ln,1,1,,5,,,,7
100 block Smith Rd,,,1,1,,,,2
100 block Snell Ter,,,,1,,,,1
100 block Solar St,,,,3,,,,3
100 block South Av,1,,,1,,,,2
100 block Spring St,1,,1,,,1,,3
100 block St Anne Dr,,,,1,,,,1
100 block St Louis Av,,,,5,,,,5
100 block Stafford Av,,,1,1,,,,2
100 block State Fair Blvd,,,,1,,,,1
100 block Stedman St,,,1,,,,,1
100 block Steuben St,4,,3,1,,1,1,10
100 block Stewart Ct,,,,1,,,,1
100 block Stinard Av,,,,1,,,1,2
100 block Strathmore Dr,,,,1,,,,1
100 block Strong Av,,,,1,,,,1
100 block Sunrise Dr,,,1,1,,,,2
100 block Sunset Av,,,,2,,,,2
100 block Sunstruck Dr,,,,,,,1,1
100 block Syracuse St,,,,1,,,,1
100 block Temple Pl,,,1,1,,,,2
100 block Tennyson Av,,,1,1,,,,2
100 block Thurlow Dr,,,,1,,,,1
100 block Tioga St,,,,,,1,,1
100 block Titus Al,,,1,,,,,1
100 block Townsend Pl,,,1,,,,,1
100 block Tracy St,,,,1,,,,1
100 block Trinity Pl,,,,1,,,,1
100 block Truth Ter,1,,,,,,,1
100 block Tyler Ct,,,,1,,,,1
100 block Upland Rd,,,,1,,,,1
100 block Vale St,,,,,,1,,1
100 block Valley Dr,,,,8,,1,1,10
100 block Valley View Dr,,,1,,,,,1
100 block Van Rensselaer St,,,,1,,,,1
100 block Vann St,,,,1,,,,1
100 block Victoria Pl,,,1,1,,,,2
100 block Village Dr,,,,3,,,,3
100 block Villiage Dr,1,,,,,,,1
100 block Vincent St,,,,1,,,,1
100 block W Beard Av,,,1,,,,,1
100 block W Bissell St,2,,2,,,,,4
100 block W Calthrop Av,,,1,,,,,1
100 block W Colvin St,,,,1,,,,1
100 block W Corning Av,,,,1,,1,,2
100 block W Court St,,,,,,,1,1
100 block W Division St,,,3,,,,,3
100 block W Fayette St,1,,,13,,1,,15
100 block W Florence Av,,,1,,,,,1
100 block W Glen Av,,,,2,,,,2
100 block W Jefferson St,,,,2,,,,2
100 block W Kennedy St,,,,1,,,,1
100 block W Kirkpatrick St,,,,1,,,,1
100 block W Lafayette Av,,,,1,,,,1
100 block W Lafayette St,,,,,,1,,1
100 block W Lynhurst Av,1,,2,,,,1,4
100 block W Matson Av,,,3,,,,,3
100 block W Newell St,,,1,1,,,,2
100 block W Onondaga St,1,,,,,,,1
100 block W Ostrander Av,,,2,3,,,1,6
100 block W Pleasant Av,,,1,,,,,1
100 block W Seneca Tpke,,,,1,,,1,2
100 block W Washington St,,,,1,,,,1
100 block Wadsworth St,,,1,1,,,,2
100 block Wall St,,,1,1,,,,2
100 block Walrath Rd,,,2,,,,,2
100 block Walton St,1,,,6,,,,7
100 block Warham St,,,,,,1,,1
100 block Warner Av,,,,,,,1,1
100 block Washington Sq,,,,3,,,,3
100 block Wayne St,,,1,,,,,1
100 block Webster Av,,,,1,,,1,2
100 block Weiser Ct,1,,,1,,,,2
100 block Wellesley Rd,,,,1,,,,1
100 block Wendell Ter,,,,1,,,,1
100 block West End Dr,,,,1,,,,1
100 block Westminster Av,1,,,,,,,1
100 block White St,,,,1,,,,1
100 block Williams St,,,,,,1,,1
100 block Willis Av,,,,1,,,,1
100 block Wilmore Pl,,,,1,,,,1
100 block Wiman Av,1,,,2,,,,3
100 block Winding Ridge Rd,,,,1,,,,1
100 block Winsor Pl,,,,1,,,,1
100 block Wolf St,1,,1,,,,,2
100 block Wood Av,,,1,3,,,2,6
100 block Woodbine Av,,,,1,,,,1
100 block Woodruff Av,,,,,,1,,1
100 block Woodside Dr,,,1,,,,,1
100 block Worden Av,,,,1,,,1,2
100 block Xavier Cir,,,,1,,,,1
1000 block Avery Av,,,,1,,,,1
1000 block Bellevue Av,,,1,1,,,,2
1000 block Butternut St,1,,2,1,,,,4
1000 block Canal St,,,1,2,,,1,4
1000 block Carbon St,,,,,,1,1,2
1000 block Col Eileen Collins Blvd,,,,9,,,2,11
1000 block Court St,,,1,1,,,,2
1000 block Danforth St,,,,,,1,,1
1000 block E Adams St,,,,1,,,,1
1000 block E Fayette St,,,,1,,,,1
1000 block E Genesee St,,,,2,,,,2
1000 block Emerson Av,,1,,,,,,1
1000 block Erie Blvd E,,,2,,,,,2
1000 block First North St,,,,1,,,,1
1000 block Harrison St,,,3,1,,,,4
1000 block Highland Av,,,,1,,,,1
1000 block Highland St,2,,1,3,,,,6
1000 block Irving Av,,,,3,,,,3
1000 block Ivy Ridge Rd,,,1,,,,,1
1000 block James St,,,4,7,,1,2,14
1000 block Lancaster Av,,,1,1,,,1,3
1000 block Lodi St,1,,1,1,,,,3
1000 block Madison St,1,,3,3,,,,7
1000 block Meadowbrook Dr,,,,1,,,,1
1000 block Mertens Av,,,,1,,,,1
1000 block Midland Av,1,,,,,,,1
1000 block Milton Av,,,,1,,,1,2
1000 block N Mcbride St,,,2,,,,,2
1000 block N State St,,,1,,,,,1
1000 block N Townsend St,2,,1,,,,,3
1000 block Oak St,,,,2,,,,2
1000 block Park St,1,,,3,,,1,5
1000 block Pond St,,,1,1,,1,,3
1000 block S Clinton St,3,,,8,,2,,13
1000 block S Geddes St,,,2,1,,2,,5
1000 block S Mcbride St,1,,2,2,,,,5
1000 block S Salina St,,,1,,,,,1
1000 block S Townsend St,2,,,2,,,,4
1000 block Spring St,,,,,,1,,1
1000 block Sunnycrest Rd,,,,2,,,,2
1000 block Teall Av,,,,,,1,,1
1000 block Tyson Pl,,,2,2,,,,4
1000 block Union Pl,1,,,,,,,1
